,primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,time,url,filename
48,amewig,[],['call'],56.7264,-111.3803,Mareca americana,American Wigeon,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,05:00,https://www.xeno-canto.org/150015,amewig/XC150015.ogg
50,amewig,[],['call'],56.7264,-111.3803,Mareca americana,American Wigeon,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,1.0,22:00,https://www.xeno-canto.org/152348,amewig/XC152348.ogg
52,amewig,[],['call'],56.7264,-111.3803,Mareca americana,American Wigeon,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,1.5,05:00,https://www.xeno-canto.org/152873,amewig/XC152873.ogg
53,amewig,['sora'],['call'],56.7264,-111.3803,Mareca americana,American Wigeon,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,04:00,https://www.xeno-canto.org/153020,amewig/XC153020.ogg
54,amewig,['mallar3'],['call'],48.4123,-123.3627,Mareca americana,American Wigeon,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,13:00,https://www.xeno-canto.org/165450,amewig/XC165450.ogg
56,amewig,[],['call'],32.564,-117.1256,Mareca americana,American Wigeon,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,09:54,https://www.xeno-canto.org/172887,amewig/XC172887.ogg
57,amewig,['houfin'],['call'],32.564,-117.1256,Mareca americana,American Wigeon,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,10:15,https://www.xeno-canto.org/172888,amewig/XC172888.ogg
60,amewig,[],['flight call'],47.7312,-70.4221,Mareca americana,American Wigeon,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,18:25,https://www.xeno-canto.org/187408,amewig/XC187408.ogg
62,amewig,[],['male'],51.7068,-103.5791,Mareca americana,American Wigeon,Patrick Turgeon,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,12:49,https://www.xeno-canto.org/293789,amewig/XC293789.ogg
65,amewig,[],"['call', 'male']",34.7912,135.4983,Mareca americana,American Wigeon,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,13:30,https://www.xeno-canto.org/305019,amewig/XC305019.ogg
67,amewig,[],"['call', 'male']",34.7912,135.4983,Mareca americana,American Wigeon,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,13:00,https://www.xeno-canto.org/305022,amewig/XC305022.ogg
68,amewig,[],"['call', 'male']",34.7912,135.4983,Mareca americana,American Wigeon,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,13:00,https://www.xeno-canto.org/305023,amewig/XC305023.ogg
70,amewig,['mallar3'],['call'],41.7974,-71.3791,Mareca americana,American Wigeon,Dylan Pedro,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,13:00,https://www.xeno-canto.org/309315,amewig/XC309315.ogg
72,amewig,[],['call'],48.6617,-112.4239,Mareca americana,American Wigeon,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,13:14,https://www.xeno-canto.org/335126,amewig/XC335126.ogg
73,amewig,[],"['alarm call', 'female']",50.9619,-118.1997,Mareca americana,American Wigeon,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,08:00,https://www.xeno-canto.org/379016,amewig/XC379016.ogg
77,amewig,[],['call'],40.5032,-105.0629,Mareca americana,American Wigeon,Nick Komar,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,17:30,https://www.xeno-canto.org/403005,amewig/XC403005.ogg
78,amewig,[],"['alarm call', 'call']",47.6807,-122.2459,Mareca americana,American Wigeon,Bruce Lagerquist,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,07:30,https://www.xeno-canto.org/404504,amewig/XC404504.ogg
81,amewig,['cangoo'],"['Whi-Whee-Whew', 'call', 'male']",40.7124,-74.4871,Mareca americana,American Wigeon,William Whitehead,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,02:00,https://www.xeno-canto.org/509697,amewig/XC509697.ogg
82,amewig,[],"['adult', 'call', 'female', 'female call']",49.2713,-123.1949,Mareca americana,American Wigeon,Sunny Tseng,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,11:30,https://www.xeno-canto.org/509721,amewig/XC509721.ogg
83,amewig,[],"['adult', 'call', 'male', 'male call']",49.2713,-123.1949,Mareca americana,American Wigeon,Sunny Tseng,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,11:30,https://www.xeno-canto.org/509723,amewig/XC509723.ogg
85,amewig,['eurwig'],"['call', 'male']",34.7092,135.3573,Mareca americana,American Wigeon,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,12:05,https://www.xeno-canto.org/513991,amewig/XC513991.ogg
89,amewig,[],['call'],25.6602,-109.0033,Mareca americana,American Wigeon,Isain Contreras Rodríguez,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,07:30,https://www.xeno-canto.org/519790,amewig/XC519790.ogg
91,amewig,[],['call'],45.5734,-122.6114,Mareca americana,American Wigeon,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,16:15,https://www.xeno-canto.org/524662,amewig/XC524662.ogg
92,amewig,['mallar3'],['call'],45.5734,-122.6114,Mareca americana,American Wigeon,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,16:22,https://www.xeno-canto.org/524663,amewig/XC524663.ogg
94,amewig,[],['call'],49.2775,-123.1453,Mareca americana,American Wigeon,Sunny Tseng,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,11:30,https://www.xeno-canto.org/531503,amewig/XC531503.ogg
95,amewig,[],['call'],49.2775,-123.1453,Mareca americana,American Wigeon,Sunny Tseng,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,11:30,https://www.xeno-canto.org/531510,amewig/XC531510.ogg
96,amewig,[],['call'],19.2726,-98.9868,Mareca americana,American Wigeon,Isain Contreras Rodríguez,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,07:30,https://www.xeno-canto.org/593011,amewig/XC593011.ogg
97,amewig,[],"['adult', 'call', 'female', 'male']",49.2714,-123.1956,Mareca americana,American Wigeon,Peter Ward and Ken Hall,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,10:00,https://www.xeno-canto.org/603725,amewig/XC603725.ogg
99,aniani,['kauama'],['song'],22.1467,-159.6134,Magumma parva,Anianiau,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,09:30,https://www.xeno-canto.org/174949,aniani/XC174949.ogg
101,aniani,['apapan'],['call'],22.1467,-159.6134,Magumma parva,Anianiau,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,10:30,https://www.xeno-canto.org/174955,aniani/XC174955.ogg
102,aniani,[],['call'],22.1467,-159.6134,Magumma parva,Anianiau,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,15:30,https://www.xeno-canto.org/210202,aniani/XC210202.ogg
103,aniani,[],['call'],22.1467,-159.6134,Magumma parva,Anianiau,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,09:00,https://www.xeno-canto.org/210203,aniani/XC210203.ogg
105,aniani,[],['call'],22.1467,-159.6134,Magumma parva,Anianiau,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,11:30,https://www.xeno-canto.org/210205,aniani/XC210205.ogg
108,aniani,['iiwi'],"['call', 'song']",22.1467,-159.6134,Magumma parva,Anianiau,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,10:50,https://www.xeno-canto.org/27338,aniani/XC27338.ogg
111,apapan,[],"['call', 'song', 'wing flutters']",22.1417,-159.6219,Himatione sanguinea,Apapane,Thomas Hamel,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,09:30,https://www.xeno-canto.org/139974,apapan/XC139974.ogg
112,apapan,['aniani'],['call'],22.1467,-159.6134,Himatione sanguinea,Apapane,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,09:30,https://www.xeno-canto.org/174948,apapan/XC174948.ogg
113,apapan,['saffin'],['song'],19.4264,-155.2373,Himatione sanguinea,Apapane,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,06:00,https://www.xeno-canto.org/175215,apapan/XC175215.ogg
115,apapan,[],['song'],19.4264,-155.2373,Himatione sanguinea,Apapane,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,06:30,https://www.xeno-canto.org/175230,apapan/XC175230.ogg
116,apapan,['houfin'],['call'],19.4264,-155.2373,Himatione sanguinea,Apapane,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,06:30,https://www.xeno-canto.org/175233,apapan/XC175233.ogg
120,apapan,[],['call'],22.1467,-159.6134,Himatione sanguinea,Apapane,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,15:00,https://www.xeno-canto.org/210194,apapan/XC210194.ogg
122,apapan,[],"['male', 'song']",22.1467,-159.6134,Himatione sanguinea,Apapane,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,09:00,https://www.xeno-canto.org/210197,apapan/XC210197.ogg
125,apapan,[],['song'],22.0815,-159.555,Himatione sanguinea,Apapane,Patrick Blake,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,13:30,https://www.xeno-canto.org/219958,apapan/XC219958.ogg
127,apapan,[],['call'],19.6725,-155.3876,Himatione sanguinea,Apapane,Todd Mark,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,07:30,https://www.xeno-canto.org/252590,apapan/XC252590.ogg
129,apapan,[],['song'],22.1467,-159.6134,Himatione sanguinea,Apapane,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,13:45,https://www.xeno-canto.org/27308,apapan/XC27308.ogg
130,apapan,['warwhe1'],['song'],22.1467,-159.6134,Himatione sanguinea,Apapane,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,09:45,https://www.xeno-canto.org/27317,apapan/XC27317.ogg
131,apapan,[],['call'],22.1467,-159.6134,Himatione sanguinea,Apapane,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,12:00,https://www.xeno-canto.org/27318,apapan/XC27318.ogg
134,apapan,[],['song'],22.1506,-159.6406,Himatione sanguinea,Apapane,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,12:00,https://www.xeno-canto.org/27331,apapan/XC27331.ogg
137,apapan,"['hawama', 'iiwi']",['song'],19.7901,-155.3273,Himatione sanguinea,Apapane,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,13:10,https://www.xeno-canto.org/27369,apapan/XC27369.ogg
139,apapan,[],['call'],20.769,-156.237,Himatione sanguinea,Apapane,Thomas G. Graves,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,07:33,https://www.xeno-canto.org/326575,apapan/XC326575.ogg
140,apapan,['iiwi'],"['call', 'song']",20.769,-156.237,Himatione sanguinea,Apapane,Thomas G. Graves,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,07:37,https://www.xeno-canto.org/326577,apapan/XC326577.ogg
141,apapan,[],['call'],20.769,-156.237,Himatione sanguinea,Apapane,Thomas G. Graves,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,08:08,https://www.xeno-canto.org/327341,apapan/XC327341.ogg
144,apapan,[],['song'],20.769,-156.237,Himatione sanguinea,Apapane,Thomas G. Graves,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,06:22,https://www.xeno-canto.org/327363,apapan/XC327363.ogg
145,apapan,[],['song'],19.4145,-155.242,Himatione sanguinea,Apapane,Craig Robertson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,13:30,https://www.xeno-canto.org/336995,apapan/XC336995.ogg
146,apapan,['oahama'],['song'],21.399,-157.898,Himatione sanguinea,Apapane,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,12:00,https://www.xeno-canto.org/368428,apapan/XC368428.ogg
148,apapan,[],['song'],20.7123,-156.3029,Himatione sanguinea,Apapane,Ulf Elman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,11:58,https://www.xeno-canto.org/385295,apapan/XC385295.ogg
150,apapan,[],['call'],19.4469,-155.3036,Himatione sanguinea,Apapane,Ulf Elman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,16:22,https://www.xeno-canto.org/385474,apapan/XC385474.ogg
157,apapan,[],"['adult', 'sex uncertain', 'song']",22.1484,-159.6277,Himatione sanguinea,Apapane,Rick Sharloch,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,08:00,https://www.xeno-canto.org/505432,apapan/XC505432.ogg
159,arcter,[],['call'],60.6133,17.9235,Sterna paradisaea,Arctic Tern,Jelmer Poelstra,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,06:40,https://www.xeno-canto.org/135277,arcter/XC135277.ogg
162,arcter,[],['call'],57.594,-152.4604,Sterna paradisaea,Arctic Tern,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,11:00,https://www.xeno-canto.org/139658,arcter/XC139658.ogg
163,arcter,[],['call'],57.594,-152.4604,Sterna paradisaea,Arctic Tern,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,20:45,https://www.xeno-canto.org/139659,arcter/XC139659.ogg
165,arcter,[],"['call', 'social calls']",54.2655,8.8444,Sterna paradisaea,Arctic Tern,Volker Arnold,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,21:56,https://www.xeno-canto.org/141787,arcter/XC141787.ogg
167,arcter,[],"['call', 'flight call']",78.247,15.392,Sterna paradisaea,Arctic Tern,Stein Ø. Nilsen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,14:00,https://www.xeno-canto.org/148887,arcter/XC148887.ogg
170,arcter,[],['call'],60.116,-149.4387,Sterna paradisaea,Arctic Tern,Davyd Betchkal,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,18:43,https://www.xeno-canto.org/177388,arcter/XC177388.ogg
173,arcter,[],['call'],46.98,7.038,Sterna paradisaea,Arctic Tern,Jerome Fischer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,11:30,https://www.xeno-canto.org/183826,arcter/XC183826.ogg
174,arcter,[],"['call', 'flight call']",46.98,7.038,Sterna paradisaea,Arctic Tern,Jerome Fischer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,12:30,https://www.xeno-canto.org/183834,arcter/XC183834.ogg
177,arcter,[],"['call', 'flight call']",78.925,11.9276,Sterna paradisaea,Arctic Tern,Stein Ø. Nilsen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,21:00,https://www.xeno-canto.org/186405,arcter/XC186405.ogg
178,arcter,[],"['call', 'flight call']",78.925,11.9276,Sterna paradisaea,Arctic Tern,Stein Ø. Nilsen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,21:00,https://www.xeno-canto.org/186407,arcter/XC186407.ogg
181,arcter,[],"['call', 'flight call']",69.5667,18.6001,Sterna paradisaea,Arctic Tern,Stein Ø. Nilsen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,06:00,https://www.xeno-canto.org/210269,arcter/XC210269.ogg
182,arcter,[],['call'],65.0167,25.4501,Sterna paradisaea,Arctic Tern,Niels Krabbe,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,xx:xx,https://www.xeno-canto.org/25068,arcter/XC25068.ogg
184,arcter,[],['calls by attacking male'],67.5167,17.5334,Sterna paradisaea,Arctic Tern,Niels Krabbe,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,xx:xx,https://www.xeno-canto.org/25176,arcter/XC25176.ogg
187,arcter,[],['call'],57.7112,18.3714,Sterna paradisaea,Arctic Tern,Mikael Litsgård,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,21:34,https://www.xeno-canto.org/287765,arcter/XC287765.ogg
189,arcter,[],['call'],57.6923,18.3513,Sterna paradisaea,Arctic Tern,Mikael Litsgård,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,03:35,https://www.xeno-canto.org/287768,arcter/XC287768.ogg
191,arcter,[],['Call'],58.4439,14.4687,Sterna paradisaea,Arctic Tern,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,?,https://www.xeno-canto.org/30166,arcter/XC30166.ogg
192,arcter,[],['flight call'],64.0495,-16.1805,Sterna paradisaea,Arctic Tern,Joss Deffarges,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,1.0,01:24,https://www.xeno-canto.org/308958,arcter/XC308958.ogg
195,arcter,[],['call'],61.0781,21.2991,Sterna paradisaea,Arctic Tern,Tero Linjama,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,07:00,https://www.xeno-canto.org/343119,arcter/XC343119.ogg
197,arcter,[],['flight call'],60.044,24.2574,Sterna paradisaea,Arctic Tern,Eetu Paljakka,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,13:33,https://www.xeno-canto.org/367634,arcter/XC367634.ogg
199,arcter,[],['flight call'],59.8318,23.0871,Sterna paradisaea,Arctic Tern,Eetu Paljakka,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,11:35,https://www.xeno-canto.org/370357,arcter/XC370357.ogg
200,arcter,[],['call'],78.218468,15.647879,Sterna paradisaea,Arctic Tern,David Farrow,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,?:?,https://www.xeno-canto.org/37419,arcter/XC37419.ogg
202,arcter,[],['alarm call'],67.6375,52.9032,Sterna paradisaea,Arctic Tern,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,23:00,https://www.xeno-canto.org/378023,arcter/XC378023.ogg
205,arcter,[],['flight call'],41.4217,-112.0663,Sterna paradisaea,Arctic Tern,Kenny Frisch,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,12:00,https://www.xeno-canto.org/382852,arcter/XC382852.ogg
207,arcter,[],['call'],70.9409,147.9749,Sterna paradisaea,Arctic Tern,Sunny,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,16:00,https://www.xeno-canto.org/396639,arcter/XC396639.ogg
209,arcter,[],['call'],70.9409,147.9749,Sterna paradisaea,Arctic Tern,Sunny,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,16:00,https://www.xeno-canto.org/396641,arcter/XC396641.ogg
210,arcter,[],['call'],70.9409,147.9749,Sterna paradisaea,Arctic Tern,Sunny,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,16:00,https://www.xeno-canto.org/396642,arcter/XC396642.ogg
213,arcter,[],['call'],70.9409,147.9749,Sterna paradisaea,Arctic Tern,Sunny,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,16:30,https://www.xeno-canto.org/396648,arcter/XC396648.ogg
214,arcter,[],['call'],70.9409,147.9749,Sterna paradisaea,Arctic Tern,Sunny,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,16:30,https://www.xeno-canto.org/396649,arcter/XC396649.ogg
217,arcter,[],"['alarm call', 'call']",64.191,21.113,Sterna paradisaea,Arctic Tern,Alan Dalton,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,13:30,https://www.xeno-canto.org/424968,arcter/XC424968.ogg
218,arcter,[],['flight call'],63.0528,74.552,Sterna paradisaea,Arctic Tern,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,22:00,https://www.xeno-canto.org/431561,arcter/XC431561.ogg
221,arcter,[],['flight call'],62.1282,73.9751,Sterna paradisaea,Arctic Tern,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,07:00,https://www.xeno-canto.org/432436,arcter/XC432436.ogg
222,arcter,[],"['alarm call', 'begging call', 'call', 'flight call', 'juvenile']",65.446,-22.1853,Sterna paradisaea,Arctic Tern,Stanislas Wroza,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,23:30,https://www.xeno-canto.org/432745,arcter/XC432745.ogg
225,arcter,[],"['alarm call', 'call', 'flight call']",65.446,-22.1853,Sterna paradisaea,Arctic Tern,Stanislas Wroza,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,23:30,https://www.xeno-canto.org/432748,arcter/XC432748.ogg
227,arcter,[],['alarm call'],63.5988,20.7618,Sterna paradisaea,Arctic Tern,Lars Edenius,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,09:00,https://www.xeno-canto.org/475539,arcter/XC475539.ogg
228,arcter,[],"['alarm call', 'flight call']",63.5988,20.7618,Sterna paradisaea,Arctic Tern,Lars Edenius,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,09:00,https://www.xeno-canto.org/475540,arcter/XC475540.ogg
231,arcter,[],"['call', 'juvenile']",65.5933,-19.4351,Sterna paradisaea,Arctic Tern,Stanislas Wroza,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,10:00,https://www.xeno-canto.org/484479,arcter/XC484479.ogg
